Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22pF,C_0402_1005Metric,39.38,-68.15,0.0,bottom
C2,22pF,C_0402_1005Metric,39.7525,-62.3375,180.0,bottom
C3,.1u,C_0402_1005Metric,60.22,-66.62,0.0,bottom
C4,1u,C_0402_1005Metric,57.4625,-61.2175,180.0,bottom
C5,.1u,C_0402_1005Metric,60.2625,-65.3475,180.0,bottom
C6,.1u,C_0402_1005Metric,42.9825,-61.8275,0.0,bottom
C7,10u,C_0402_1005Metric,61.59,-58.49,90.0,bottom
C8,1u,C_0402_1005Metric,56.4325,-59.9475,180.0,bottom
C9,.1u,C_0402_1005Metric,59.9325,-64.2775,180.0,bottom
C10,.1u,C_0402_1005Metric,54.2625,-57.8975,90.0,bottom
C11,.1u,C_0402_1005Metric,49.25,-58.94,90.0,bottom
C12,.1u,C_0402_1005Metric,53.1925,-57.8975,90.0,bottom
C13,.1u,C_0402_1005Metric,53.8925,-69.1575,180.0,bottom
C14,.1u,C_0402_1005Metric,42.9825,-62.9775,0.0,bottom
C15,.1u,C_0402_1005Metric,49.2525,-70.3475,270.0,bottom
C16,1u,C_0402_1005Metric,67.74,-59.47,90.0,bottom
C17,1u,C_0402_1005Metric,62.65,-58.49,90.0,bottom
D1,D_Small,D_SOD-123,44.365,-55.65625,90.0,bottom
D2,D_Small,D_SOD-123,49.135,-79.46125,90.0,bottom
D3,D_Small,D_SOD-123,56.285,-117.56125,90.0,bottom
D4,D_Small,D_SOD-123,46.83125,-136.62125,90.0,bottom
D5,D_Small,D_SOD-123,51.5,-98.52,90.0,bottom
D6,D_Small,D_SOD-123,68.1775,-55.65625,90.0,bottom
D7,D_Small,D_SOD-123,73.025,-79.46125,90.0,bottom
D8,D_Small,D_SOD-123,77.715,-98.51125,90.0,bottom
D9,D_Small,D_SOD-123,87.235,-117.57125,90.0,bottom
D10,D_Small,D_SOD-123,68.2625,-136.61125,90.0,bottom
D11,D_Small,D_SOD-123,87.2275,-55.65625,90.0,bottom
D12,D_Small,D_SOD-123,92.005,-79.46125,90.0,bottom
D13,D_Small,D_SOD-123,96.765,-98.51125,90.0,bottom
D14,D_Small,D_SOD-123,106.285,-117.56125,90.0,bottom
D15,D_Small,D_SOD-123,89.69375,-136.62125,90.0,bottom
D16,D_Small,D_SOD-123,106.2775,-55.65625,90.0,bottom
D17,D_Small,D_SOD-123,111.045,-79.46125,90.0,bottom
D18,D_Small,D_SOD-123,115.815,-98.51125,90.0,bottom
D19,D_Small,D_SOD-123,125.335,-117.57125,90.0,bottom
D20,D_Small,D_SOD-123,125.3275,-55.65625,90.0,bottom
D21,D_Small,D_SOD-123,130.105,-79.46125,90.0,bottom
D22,D_Small,D_SOD-123,134.865,-98.51125,90.0,bottom
D23,D_Small,D_SOD-123,144.385,-117.56125,90.0,bottom
D24,D_Small,D_SOD-123,142.08125,-136.61125,90.0,bottom
D25,D_Small,D_SOD-123,151.5375,-55.65625,90.0,bottom
D26,D_Small,D_SOD-123,149.145,-79.46125,90.0,bottom
D27,D_Small,D_SOD-123,153.905,-98.51125,90.0,bottom
D28,D_Small,D_SOD-123,163.435,-117.57125,90.0,bottom
D29,D_Small,D_SOD-123,168.195,-136.61125,90.0,bottom
D30,D_Small,D_SOD-123,170.5875,-55.65625,90.0,bottom
D31,D_Small,D_SOD-123,168.205,-79.46125,90.0,bottom
D32,D_Small,D_SOD-123,172.965,-98.52125,90.0,bottom
D33,D_Small,D_SOD-123,182.485,-117.56125,90.0,bottom
D34,D_Small,D_SOD-123,189.6375,-55.65625,90.0,bottom
D35,D_Small,D_SOD-123,187.255,-79.47125,90.0,bottom
