Comment,Designator,Footprint,LCSC
27,"R2,R3",R_0402_1005Metric,C100353
1k,"R1,R4,R5",R_0402_1005Metric,C11702
.1u,"C10,C11,C12,C13,C14,C15,C3,C5,C6,C9",C_0402_1005Metric,C1525
10u,C7,C_0402_1005Metric,C15525
22pF,"C1,C2",C_0402_1005Metric,C1555
RP2040,U1,RP2040-QFN-56,C2040
220,"R8,R9",R_0402_1005Metric,C25104
PRTR5V0U2X,U4,SOT143B,C2827688
Boot,"SW1,SW2",SW_SPST_TL3342,C318884
1u,"C16,C17,C4,C8",C_0402_1005Metric,C52923
XC6206PxxxMR,U3,SOT-23,C5446
SM04B,J1,Molex_Pico-EZmate_78171-0004_1x04-1MP_P1.20mm_Vertical,C588524
D_Small,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D49,D5,D50,D51,D52,D53,D54,D55,D56,D57,D58,D59,D6,D60,D61,D62,D63,D7,D8,D9",D_SOD-123,C64898
12MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
W25Q128JVS,U2,SOIC-8_5.23x5.23mm_P1.27mm,C97521
